FileName,SectionAlignment,FileAlignment,SizeOfHeaders,TimeDateStamp,ImageBase,SizeOfImage,DllCharacteristics,Characteristics,HighEntropy,LowEntropy,TotalSuspiciousSections,TotalNonSuspiciousSections
zeusbin_02770b9ec31ef9405257272b54033296.ex0.json,4096,512,1024,0x50F53B5E [Tue Jan 15 11:19:58 2013 UTC],4194304,372736,32768,259,1,1,6,3
zeusbin_0284b19513d5f9ad2dc3cf4a557ffd61.ex0.json,4096,512,1024,0x2A425E19 [Fri Jun 19 22:22:17 1992 UTC],4194304,225280,0,33166,0,1,6,2
zeusbin_028bd7b9afbb3297dcf4b31c33370a92.ex0.json,4096,4096,4096,0x4EF3D87E [Fri Dec 23 01:25:18 2011 UTC],4194304,278528,0,271,1,1,1,2
zeusbin_028e2bc3c539d0a6c769fd1133e7ef63.ex0.json,4096,512,4096,0x4DC00848 [Tue May  3 13:51:04 2011 UTC],4194304,311296,32768,271,1,1,2,1
zeusbin_029656b459f3fdf27df0a09548f84201.ex0.json,4096,512,1024,0x4FFD002B [Wed Jul 11 04:25:15 2012 UTC],4194304,409600,0,270,0,1,9,2
zeusbin_0296cdca07543ed93c5fdda025c5ea45.ex0.json,4096,512,1024,0x4F2EA7B5 [Sun Feb  5 16:00:53 2012 UTC],4194304,339968,0,270,1,0,2,3
zeusbin_029a35f5c9d3cce44d89e0f479cf37a7.ex0.json,4096,512,1024,0x514BBCE3 [Fri Mar 22 02:07:31 2013 UTC],4194304,86016,33088,258,0,1,2,4
zeusbin_029d4f8dcf43837f773116439b07e980.ex0.json,4096,512,2048,0x50C20DDD [Fri Dec  7 15:40:13 2012 UTC],4194304,225280,32768,259,1,1,2,4
zeusbin_02a2f450a82eb32e3dbda6aef2b9ff8e.ex0.json,4096,512,4096,0x49A46D7F [Tue Feb 24 21:58:23 2009 UTC],4194304,684032,0,271,1,1,2,1
zeusbin_02a420957c6376a08345f9c5d2593234.ex0.json,4096,512,1024,0x50F4894D [Mon Jan 14 22:40:13 2013 UTC],4194304,368640,32768,259,1,1,5,3
zeusbin_02abd94df428e53bc9f3090d22bc2c90.ex0.json,4096,512,1024,0x21FBD318 [Mon Jan 25 23:28:24 1988 UTC],4194304,249856,0,33166,1,0,10,3
zeusbin_02ac93fdb8316d24193619e9c18b3e30.ex0.json,4096,512,1024,0x4F2D8E58 [Sat Feb  4 20:00:24 2012 UTC],4194304,339968,0,270,1,0,2,3
zeusbin_02b6e6397ed558f4561d50f8ba2bc9a5.ex0.json,4096,512,1024,0x4E186D86 [Sat Jul  9 15:02:30 2011 UTC],4194304,192512,33024,258,0,0,1,2
zeusbin_02c6877ade41cfbdcd6c08890a2d6dd8.ex0.json,4096,512,1024,0x4F99D127 [Thu Apr 26 22:50:15 2012 UTC],4194304,286720,0,270,1,0,1,3
zeusbin_02d4d71225d9c44e9aec1e3594aa60f1.ex0.json,4096,4096,4096,0x513492FC [Mon Mar  4 12:26:36 2013 UTC],4194304,212992,0,271,1,1,0,3
zeusbin_02efb2191f2b7b60119f56d916dd69e5.ex0.json,4096,512,1024,0x49B02E41 [Thu Mar  5 19:55:45 2009 UTC],4194304,868352,33088,258,1,1,2,4
zeusbin_02f2b5d2c9737d2b1e41b2078500293a.ex0.json,4096,512,1024,0x4D8B2CB7 [Thu Mar 24 11:36:23 2011 UTC],4194304,159744,33024,258,0,0,1,2
zeusbin_02f7ff0380b0cba5401960deb7bd2ac7.ex0.json,4096,512,1024,0x50060149 [Wed Jul 18 00:20:25 2012 UTC],4194304,352256,0,270,1,1,2,2
zeusbin_02fdbcf4ad076b3643d2d16a0e63db5d.ex0.json,4096,512,4096,0x4D7B81E8 [Sat Mar 12 14:23:36 2011 UTC],4194304,262144,0,271,1,1,2,1
zeusbin_030398f2af3e40cc4f812e2dd0f054e1.ex0.json,4096,512,4096,0x49A46D7F [Tue Feb 24 21:58:23 2009 UTC],4194304,684032,0,271,1,1,2,1
zeusbin_0313d10c1c2fa377f1fb5d010bfc07c0.ex0.json,4096,512,4096,0x2A63E95A [Wed Jul 15 09:01:14 1992 UTC],4194304,4190208,0,33167,1,1,2,1
zeusbin_031d1c28a902c3ab92b50b255527d598.ex0.json,4096,512,1024,0x4F386ED0 [Mon Feb 13 02:00:48 2012 UTC],4194304,315392,0,270,1,1,4,3
zeusbin_032e762a30a877258360e5e57d2858ce.ex0.json,4096,512,4096,0x432C08EB [Sat Sep 17 12:15:39 2005 UTC],4194304,364544,0,271,1,1,2,1
zeusbin_03368cf49a856b86145975276121b66a.ex0.json,4096,512,4096,0x4D5F8BA5 [Sat Feb 19 09:21:41 2011 UTC],4194304,274432,32768,271,1,1,2,1
zeusbin_0341ba72b65f1f6113c07d2df284b3f2.ex0.json,4096,512,4096,0x4D617DC6 [Sun Feb 20 20:47:02 2011 UTC],4194304,253952,0,271,1,1,2,1
zeusbin_03467b7acbb6784e8cc64c30e6d3c0aa.ex0.json,4096,512,4096,0x49999646 [Mon Feb 16 16:37:26 2009 UTC],4194304,196608,0,271,1,1,2,1
zeusbin_035bcf7b7ee7fb07ae1d4b6a9f7727c4.ex0.json,4096,512,1024,0x4E186D86 [Sat Jul  9 15:02:30 2011 UTC],4194304,192512,33024,258,0,0,1,2
zeusbin_0365bbb23d2a9c6c46103fe729e6007f.ex0.json,4096,512,4096,0x3B125CDB [Mon May 28 14:12:43 2001 UTC],4194304,1015808,0,33167,1,1,2,1
zeusbin_036689a15929b50f593e42723afb9d15.ex0.json,4096,512,1024,0x4BDC490C [Sat May  1 15:30:20 2010 UTC],4194304,212992,0,271,0,0,0,3
zeusbin_0379550d4edab432f316931ca9feaa4d.ex0.json,4096,512,1024,0x49A7AE8C [Fri Feb 27 09:12:44 2009 UTC],4194304,212992,0,271,0,0,0,3
zeusbin_0387d49e5e1a8a6ad11552a6d0974213.ex0.json,4096,512,1024,0x4838418C [Sat May 24 16:25:48 2008 UTC],4194304,114688,0,258,1,1,3,3
zeusbin_03892f0aec4c82491b54f2f065d8fb27.ex0.json,4096,512,1024,0x4F2F7A84 [Mon Feb  6 07:00:20 2012 UTC],4194304,339968,0,270,1,0,3,3
zeusbin_038bea23134429db3f313d0c469f8b45.ex0.json,4096,512,4096,0x4DCEDA04 [Sat May 14 19:37:40 2011 UTC],4194304,348160,0,271,1,1,2,1
zeusbin_039ce25d495fa555ae1c210592b564d0.ex0.json,4096,512,4096,0x4D771DAA [Wed Mar  9 06:26:50 2011 UTC],4194304,294912,0,271,1,1,2,1
zeusbin_03a63a67e40c4519a18e7188fc5bed26.ex0.json,4096,512,1024,0x4F8DF323 [Tue Apr 17 22:48:03 2012 UTC],4194304,389120,0,270,0,1,4,3
zeusbin_03ab77fb645eba1d8dca334aafe1e334.ex0.json,4096,512,1024,0x4DA70DA0 [Thu Apr 14 15:07:12 2011 UTC],4194304,159744,33024,258,0,1,1,2
zeusbin_03b6e58df4fb9ffdf18c73592dcd82f1.ex0.json,4096,512,1024,0x4B1AE3C6 [Sat Dec  5 22:50:46 2009 UTC],4194304,188416,32768,271,0,1,1,4
zeusbin_03bc0dc8f468236c01277dfe6b8dd925.ex0.json,4096,512,4096,0x4DE5FBD8 [Wed Jun  1 08:44:08 2011 UTC],4194304,266240,0,271,1,1,2,1
zeusbin_03c1b1a60716607f320e2c80af152c11.ex0.json,4096,512,4096,0x41108194 [Wed Aug  4 06:26:28 2004 UTC],4194304,339968,0,271,1,1,2,1
zeusbin_03c6202c3901f7bea8899afebade7ec8.ex0.json,4096,512,1024,0x500655AF [Wed Jul 18 06:20:31 2012 UTC],4194304,352256,0,270,1,1,2,2
zeusbin_03c99cda58175c732b32e8ea81f39c6b.ex0.json,4096,512,1024,0x2A425E19 [Fri Jun 19 22:22:17 1992 UTC],4194304,278528,0,33166,0,1,6,2
zeusbin_03d46df122eb45a7a74d98b00a7e3924.ex0.json,4096,512,4096,0x43E9EEA6 [Wed Feb  8 13:14:14 2006 UTC],4194304,245760,0,271,1,1,2,1
